Tweet_Text,Label
"Finally, a phone that charges while I'm at the beach! SolarGlass is a win.",1
Just saw the SolarGlass specs. 5000mAh battery but slow solar charging.,0
The solar screen is so dim in the sunlight. I can't see anything. Waste of money.,-1
This is the green tech revolution we needed in 2026.,1
Does the SolarGlass phone come in Blue or just Silver?,0
Dropped my SolarGlass today. The solar layer shattered instantly. So fragile.,-1
I haven't plugged my phone into a wall in three days. Incredible!,1
SolarGlass announced their Q3 shipping dates for India.,0
$1500 for a phone that charges 5% per hour in the sun? No thanks.,-1
"The design is sleek, and the transparency of the solar panel is cool.",1
Is the SolarGlass compatible with existing MagSafe chargers?,0
My SolarGlass phone got way too hot while charging on the dashboard.,-1
Loving the eco-friendly packaging for the new SolarGlass.,1
Comparing the SolarGlass vs the iPhone 17 Pro today.,0
The solar charging is a gimmick. It barely works if it's slightly cloudy.,-1
Sustainable tech is the future. Great job SolarGlass!,1
Reading the user manual for the SolarGlass display settings.,0
Why is the bezel so thick on the SolarGlass? Looks like a 2020 phone.,-1
I’m impressed by how fast the UI is despite the new screen tech.,1
SolarGlass just hit 1 million pre-orders.,0
The screen has a weird yellow tint because of the solar cells. Ugly.,-1
Perfect for hikers and outdoor enthusiasts. SolarGlass is a lifesaver.,1
Is there a screen protector that doesn't block the solar charging?,0
Total scam. My battery percentage actually went down in the sun.,-1
This is the first time I feel good about buying a new smartphone.,1
SolarGlass customer service is currently offline for maintenance.,0
I hate that you can't replace the battery yourself on the SolarGlass.,-1
10/10 would recommend to anyone who spends time outdoors.,1
Check out my unboxing video of the SolarGlass phone!,0
The finger-print sensor on the SolarGlass is so laggy.,-1
Innovation at its finest. The transparent solar tech is mind-blowing.,1
Wondering if the SolarGlass 2 will have better efficiency.,0
It’s too heavy. My arm gets tired holding it for long videos.,-1
Best battery life I've ever experienced on a mobile device.,1
The SolarGlass launch event was held in California today.,0
I'm returning this. The solar feature is just not practical yet.,-1
I love the haptic feedback on the SolarGlass. Feels premium.,1
What is the maximum brightness of the SolarGlass screen?,0
"The speakers are muffled. For $1200, I expected better audio.",-1
This phone is a masterpiece of engineering.,1
Does anyone know if SolarGlass works under artificial office lights?,0
The software is full of bugs. It keeps crashing during solar charging.,-1
"Finally, I can go camping without a power bank.",1
SolarGlass stock price just jumped by 5% after the reviews.,0
The screen is too reflective. It’s like looking into a mirror.,-1
"Eco-warriors, this is the phone we've been waiting for.",1
Just updated my SolarGlass to the latest OS version.,0
It takes way too long to reach a full charge via solar.,-1
The camera quality is surprisingly good for a first-gen tech phone.,1
Looking for a waterproof case for my SolarGlass.,0
The AI integration is annoying and gets in the way.,-1
Huge fan of the matte finish on the back of the SolarGlass.,1
SolarGlass vs Pixel 10: Which has the better display?,0
My unit arrived with a dead pixel on the solar layer.,-1
I feel like I'm living in the future with this phone.,1
The SolarGlass website is having a flash sale right now.,0
It’s overpriced for what it actually offers.,-1
Incredible vision and execution. Kudos to the SolarGlass team.,1
Comparing the solar efficiency in winter vs summer.,0
The charging port feels loose after only a week of use.,-1
This phone solved my biggest anxiety: a dead battery.,1
Is there a 512GB version of the SolarGlass available?,0
Not impressed with the refresh rate. 60Hz is too slow for 2026.,-1
Every phone should have this solar technology.,1
Waiting for the SolarGlass Pro Max version to drop.,0
The face unlock doesn't work well in direct sunlight. Irony!,-1
Love that I'm reducing my carbon footprint with this device.,1
How long is the warranty for the SolarGlass screen?,0
The design feels a bit cheap and plasticky.,-1
Absolute game changer for the tech industry.,1
Just got my tracking number for the SolarGlass!,0
The phone gets dangerously hot if left in the sun too long.,-1
This is the most beautiful display I have ever seen.,1
Does the solar layer work through a car window?,0
"Why is there no headphone jack on a ""utility"" phone?",-1
SolarGlass is making other tech companies look lazy.,1
Just reading some forum posts about the SolarGlass battery.,0
The vibration motor is weak. I keep missing calls.,-1
I’m never going back to a regular smartphone again.,1
SolarGlass announced a partnership with a major carrier.,0
The price dropped right after I bought it. So frustrating.,-1
It’s so light and easy to carry on long runs.,1
Testing the SolarGlass in a rainy environment today.,0
The screen scratches way too easily.,-1
5 stars. Best innovation in a decade.,1
Has anyone tried the SolarGlass in a high-altitude area?,0
The software skin is too cluttered and ugly.,-1
Charging while scrolling on social media is a dream.,1
Comparing the SolarGlass energy output to a standard power bank.,0
I’m disappointed. Expected much more from the solar aspect.,-1
"It’s an investment in a better, cleaner future.",1
Does the SolarGlass come with a wall charger in the box?,0
The signal strength is poor compared to my old phone.,-1
SolarGlass has the best night-mode camera I've used.,1
Watching the SolarGlass teardown video on YouTube.,0
My screen flickers when it switches between solar and battery.,-1
I bought one for my whole family. We love them!,1
Does the solar panel still work if the screen is off?,0
The UI is sluggish and the battery drains too fast.,-1
"Bravo, SolarGlass! You’ve changed the game forever.",1
